Average Insert Time (ns)
n       LinkedList      HashSet 1e3     HashSet 1e4     HashSet 1e5     HashSet 1e6
10e2    896.000000      878.000000      2122.000000     13374.000000    119878.000000
10e3    595.600000      607.700000      771.200000      1771.700000     12466.700000
10e4    575.190000      595.010000      606.500000      733.620000      2030.680000
10e5    577.016000      583.917000      584.672000      602.346000      755.102000
10e6    587.908400      599.270800      595.634100      598.409400      613.889300

Average Find Time (ns)
n       LinkedList      HashSet 1e3     HashSet 1e4     HashSet 1e5     HashSet 1e6
10e2    928.000000      840.000000      977.000000      838.000000      920.000000
10e3    2367.300000     888.700000      891.500000      851.200000      893.800000
10e4    16548.890000    936.310000      912.100000      899.200000      911.400000
10e5    155698.053000   993.707000      931.180000      929.529000      923.953000
10e6    1756681.901400  1813.747000     1197.223200     1308.409300     1247.520700
